BLItemNo,PartName,Qty
3873,Technic Link Tread,74
3648,Technic Gear 24 Tooth,6
2780,Technic Pin with Friction,6
3705,Technic Axle 4L,4
3713,Technic Bush,4
3701,Technic Brick 1 x 4 with Holes,4
32524,Technic Liftarm Thick 1 x 7,2
40490,Technic Liftarm Thick 1 x 9,2
3894,Technic Brick 1 x 6 with Holes,2
4519,Technic Axle 3L,2
32523,Technic Liftarm Thick 1 x 3,2
43857,Technic Liftarm Thick 1 x 2,1
